Date,Open,High,Low,Close,Volume,Adj Close
16-08-2011,2411.24805,2438,2375.19995,2392.64795,460400,437.16425
12-08-2011,2482.052,2485,2343.69995,2374.448,791100,433.83891
11-08-2011,2428.052,2465,2414,2438.948,381700,445.6238
10-08-2011,2454,2475.1001,2412.448,2445.6001,557100,446.83922
09-08-2011,2398,2439,2350,2377.1001,1332100,434.32348
08-08-2011,2500,2500,2431.3999,2468,1035900,450.93194
05-08-2011,2660,2660,2530,2590.552,865200,473.3236
04-08-2011,2737.6001,2757.8999,2704.64795,2708.30005,196200,494.83752
03-08-2011,2739,2740,2710.19995,2732.052,149700,499.17727
02-08-2011,2804.948,2804.948,2746,2752.85205,178200,502.97768
01-08-2011,2780,2819.948,2780,2809.14795,111100,513.26359
29-07-2011,2745,2778.5,2729,2766.80005,152700,505.52614
28-07-2011,2775,2775,2736,2747.3999,198900,501.98151
27-07-2011,2800,2833.64795,2787.19995,2796.052,184500,510.87081
26-07-2011,2803.052,2824,2787.19995,2799.6001,170700,511.51908
25-07-2011,2819.3999,2823,2790.35205,2806.6001,198300,512.79806
22-07-2011,2778,2838,2775.5,2825.35205,388800,516.22426
21-07-2011,2751.8999,2782,2735,2767.30005,310200,505.61749
20-07-2011,2765,2771,2745,2751.64795,308800,502.75767
19-07-2011,2727.80005,2772,2717.1001,2753.35205,396600,503.06903
18-07-2011,2744.8999,2744.8999,2709,2714.052,953300,495.88846
15-07-2011,2740.948,2770,2725,2730.552,766500,498.9032
14-07-2011,2764.948,2766,2732.3999,2740.948,1088800,500.80267
13-07-2011,2767,2808,2762.80005,2784.19995,647900,508.7053
12-07-2011,2850,2850,2749.35205,2794.24805,2694900,510.5412
11-07-2011,2945,2974,2890,2919,451300,533.33482
08-07-2011,3000,3020,2965.64795,2977.8999,219600,544.0965
07-07-2011,2955,2999,2945,2995.14795,231300,547.24792
06-07-2011,2948,2970,2936,2952.552,147100,539.46515
05-07-2011,2943,2968.30005,2926.24805,2954.5,269700,539.82107
04-07-2011,2950,2974.052,2933.30005,2938.8999,199900,536.97076
01-07-2011,2930,2965.85205,2920,2934.30005,373800,536.13031
30-06-2011,2875,2915.948,2875,2907.3999,173800,531.21535
